Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Content type),Custom field (Development),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Feedback Due Date),Custom field (Incident End Time),Custom field (Incident Start Time),Custom field (Issue color),Custom field (Location),Custom field (Publication date),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Task progress),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"Add device model & os version in the ""App version"" tab in the sales report.",SKTAPP-670,12292,,Task,Done,SKTAPP,Skitto App,software,admin,,,Medium,Done,zahidul,admin,admin,14/May/18 7:40 PM,08/Oct/18 10:56 AM,19/Dec/18 2:00 PM,07/Oct/18 3:18 PM,,,0,Backend,Retainer,"Add device model & os version in the ""App version"" tab in the sales report.",,admin,hasan.m.rahman,kafi,tasmia.safa,,;05/Jun/18 4:35 PM;kafi;3600,"Checked header data stored in preference

It seems header data is obtained properly but server is not getting any data from header in android app

Changed header key names according to server implementation

Tested and reported;12/Aug/18 11:42 AM;zahidul;3600","Changed condition of storeHeaderInfo method so that when location is obtained from location API header info gets the update

Applied the change in Splash and ChatActivity as well

Tested and confirmed whether the data are reaching server and updating database

Removed os name keyword from os version tab;03/Oct/18 6:01 PM;zahidul;3600","Added locationHelper instance that handles Google API connection and updates location data 

Added method to update location with Google API connection 

Enabled Google API connection in splash upon condition 

Added public method to retrieve permission grant status in locationHelper class 

Added public boolean method that returns permission grant status in PermissionUtils

Check with server to verify whether location is updated or not;04/Oct/18 1:21 PM;zahidul;7200","Added IMEI as header information in check version API

Tested with model server;04/Oct/18 6:00 PM;zahidul;3600",,,,,,,,,,,0,21600,,,0,21600,,,,,,,,,,,{},,,,,,,,,,,,0|hzzze7:,,,SKTAPP Sprint 14,SKTAPP Sprint 15,SKTAPP Sprint 16,SKTAPP Sprint 17,SKTAPP Sprint 19,SKTAPP Sprint 20,SKTAPP Sprint 21,,,,,,,,,,2018-06-10 07:03:03.242,"10/Jun/18 1:03 PM;tasmia.safa;[~kafi] bhaiya, android phones are not showing the device model in the report.",06/Aug/18 10:46 AM;admin;[~zahidul] Device model is not coming for none of the android devices. Please check this.,16/Sep/18 2:19 PM;tasmia.safa;This has not been solved as of yet. Will have to get back to [~kafi] bhaiya to confirm this. ,03/Oct/18 12:28 PM;tasmia.safa;[~zahidul] bhaiya [~kafi] bhaiya this hasn't been solved. App does not update after loading the app every time.,"03/Oct/18 5:59 PM;hasan.m.rahman;[Mohammad Ullah Al Kafi|https://gitlab.com/kafi] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Backend|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Backend/commit/e3ecd5ad8f2e5ed1161a4dd6a358071177b85791]:
'Update for SKTAPP-670 and log update'","04/Oct/18 9:46 AM;kafi;Last update pushed to production

commit e3ecd5ad8f2e5ed1161a4dd6a358071177b85791

Now IMEI also added at exported csv file and admin panel’s app version page. ([https://www.skitto.com/management/app_versions])

app version and other information saving/updating at get_profile now. We will shift it to datamixer or version api soon due to reduce recurring call. 

We should call it once in a journey.",04/Oct/18 4:14 PM;admin;[~kafi] As discussed Lets use the Version Check API to extract the device information instead of get Profile API. This will save a lot of db insert.,"04/Oct/18 5:09 PM;hasan.m.rahman;[Mohammad Ullah Al Kafi|https://gitlab.com/kafi] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Backend|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Backend/commit/a6f67a6afb33a47d822aca70d68e9a29d3881da1]:
'Update for SKTAPP-670. moved at versioncheck API from get_profile'",07/Oct/18 3:18 PM;tasmia.safa;Added with the latest build. ,"08/Oct/18 10:56 AM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/6bb8f471f6e54403b4aebdbbbcdc70330d327dd8]:
'User Device Info [SKTAPP-670]'","08/Oct/18 10:56 AM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/df4eadaf8dc2868149b0d7ebb10119a5389b0818]:
'User Device Info [SKTAPP-670]'","08/Oct/18 10:56 AM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/6cece9fccbb4a92304b0038ba522651eb0beec02]:
'User Device Info [SKTAPP-670]'",
Update the sales app UI to support small screen.,SKTAPP-739,12416,,Task,Done,SKTAPP,Skitto App,software,admin,,,High,Done,zahidul,admin,admin,20/Jun/18 10:53 AM,19/Sep/18 3:40 PM,19/Dec/18 1:59 PM,19/Sep/18 3:40 PM,SalesApp,,0,Android,Retainer,"At this moment, the sales app is only supported in tabs. However we will need to extend the support to smaller screens. Please make the necessary changes so that the sales app works perfectly in smaller screens.",,admin,hasan.m.rahman,tasmia.safa,zahidul,,"Go through all layout files used in sales app and estimated approximate time to enable support for any screen sizes
Added values file for different screen-size devices 
Changed splash layout to support any screen size and tested in mobile and tab emulator;26/Jun/18 4:35 PM;zahidul;10800","Changed Login layout to support smaller screens according to previous design appearance in tab and wire-frame provided
Changed Change password user name layout
Changed Change Password OTP layout
CHanged Change Password enter new password layout
Changed Dashboard layout, create promo success layout
Tested changes in smaller screens emulator (Pixel 2) and tab emulator (Nexus 10)
Compared applied changes with wire-frame and existing application layout ;26/Jun/18 4:40 PM;zahidul;18000","Updated dashboard layout to support in smaller device

Updated Home and Login layout to support smaller device

Tested in moto G;09/Jul/18 5:37 PM;zahidul;7200","Created 3 emulator to check layout in a tab and a phone emulator, comparing with another tab emulator running the existing released build
Changes made for smaller screen support was causing cropping and overlapping in several pages of tab, also contents looks noticeably larger than before
Reduce dimension values of all related files hence, checked output on tab and phone also compared with the current release build's layout
Added some drawable resources (cross button) which shrinks greatly in tab layout
changed all dialog layouts to adjust in tab and device according to the requirement 
Had to reduce dimension of almost all activity xml classes except SIM migration ;12/Jul/18 4:53 PM;zahidul;28800","Changed all fragment layouts to adjust in both tab and phone screen
Reduced all textfield's length, height and margin 
ExpiredFragment, SummaryFragment, SoldFragment's switch button alignment fixed
Checked in test device and tablet
;12/Jul/18 5:24 PM;zahidul;10800","Changed and checked dimension values in the following pages, Change Password OTP page, CHange password Username page, Homepage, Create Promo page;08/Aug/18 6:24 PM;zahidul;18000","Created new layout for SIM migration page's small screen support
Added a drawable resource for editable text field
Removed all label texts 
Checked in in emulator;18/Sep/18 10:18 AM;zahidul;14400","Checked SIM migration layout in tab, layout breaks and crops at several place 
Changed common width of migration form fro sw600dp and sw720dp
Changed margins and padding of layout items
Spinner height and padding changed for plans ""bondhu"", ""nishchinto"" etc..
;18/Sep/18 1:16 PM;zahidul;7200",,,,,,,86400,0,115200,133%,86400,0,115200,,,18/Sep/18 3:43 PM;tasmia.safa;screenshot-1.png;https://skitto.atlassian.net/secure/attachment/10968/screenshot-1.png,18/Sep/18 3:44 PM;tasmia.safa;screenshot-2.png;https://skitto.atlassian.net/secure/attachment/10969/screenshot-2.png,,,,,,,{},,,SKTAPP-195,,,,,,,,,0|hzzzaf:,,,SKTAPP Sprint 16,SKTAPP Sprint 21,,,,,,,,,,,,,,,2018-07-12 11:05:55.743,"12/Jul/18 5:05 PM;tasmia.safa;[~zahidul] bhaiya the pages are too small and looks out of proportion, even for small phones. The pages that are too small and need to be made bigger are :

1. The log in page 
2. Create promo code page
3. Change password page
4. Success page of promo code creation

5. In the sales report page:
a. The button text of sales report  page (Go to sales report > pending > button text with ""sell SIM"" written on it)
b. The text ""search by keyword"" inside the box in the sales report page (in all the states i.e pending, expired, sold
c. The month date toggle button in the """"expired"", ""sold"" , ""summary"" states of the sales report page","12/Jul/18 5:23 PM;zahidul;[~tasmia.safa] apu the content of these layouts has been made smaller according to the existing release build. The contents will get smaller and larger with the device screen size. In existing design the contents are this small comparing to device screen, so for smaller screen the contents are getting smaller. I've checked the design files specially the CJM file that Musfiq vai provided few days back, the design is applicable for tabs only. These pages are designed following that wire-frame and the existing release build. To made any further changes here, I'll need mockup design for smaller screen, also I'll have to create separate layout file as well. [~admin] bhai please review this comment, also it'll be great if we can discuss this on next skype meeting.","06/Aug/18 10:22 AM;admin;Can you please check the design files & see if it serves your purpose or not.

https://drive.google.com/drive/folders/1oKrkFq8liuH6MTLLDHlsTqQ_4rLYbUAH?usp=sharing","18/Sep/18 10:28 AM;zahidul;[~admin] bhai, I’ve prepared a build for Skitto Sales App, resolving this ticket. Kindly check and let me know your feedback as soon as possible.","18/Sep/18 1:19 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Sales_App_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Sales_App_Android/commit/397903a792b78418aece3db9079ae90e5f75a8c5]:
'[SKTAPP-739]'","18/Sep/18 3:44 PM;tasmia.safa;Changes need to be made to the migration form of both the mobile and tab versions.

1. The tab version of the migration form of sales app is not in proportion .  It needs to be in proportion to the tab size. Screenshot has been attached for reference. 
 !screenshot-1.png|thumbnail! 


2. Also, the mobile version form should be one size smaller than it already is.  Screenshot has been attached. 

 !screenshot-2.png|thumbnail! 
",19/Sep/18 12:20 PM;tasmia.safa;[~zahidul] bhaiya the app in tab is crashing repeatedly right after I give the log in credentials. ,19/Sep/18 3:40 PM;tasmia.safa;Solved in the build provided on 19th September. ,,,,,
"Update the lat, long of the device in certain Interval from the sales app.",SKTAPP-741,12419,,Story,Done,SKTAPP,Skitto App,software,admin,,,High,Done,admin,admin,admin,20/Jun/18 11:11 AM,17/Dec/18 1:21 PM,19/Dec/18 1:59 PM,17/Dec/18 1:21 PM,SalesApp,,0,Android,Retainer,"We will need to track all of our POS (Point of Sales) location. The sales app should call a location update API in a certain interval & update the lat,long of the seller.",,admin,flora,,,,,,,,,,,,,,,,,,,,,,57600,0,64800,,,,,,,,,,,{},,,SKTAPP-740,,,,,,,,,0|i00be7:,,,SKTAPP Sprint 16,SKTAPP Sprint 17,SKTAPP Sprint 18,SKTAPP Sprint 19,SKTAPP Sprint 20,SKTAPP Sprint 21,SKTAPP Sprint 22,SKTAPP Sprint 23,SKTAPP Sprint 24,SKTAPP Sprint 25,SKTAPP Sprint 26,,,,,,2018-10-25 05:54:03.332,25/Oct/18 11:54 AM;flora;This task is done in Production,,,,,,,,,,,,
An API to update the location of the seller from sales app.,SKTAPP-742,12420,12419,Sub-task,Done,SKTAPP,Skitto App,software,admin,,,High,Done,kafi,admin,admin,20/Jun/18 11:16 AM,25/Oct/18 11:52 AM,19/Dec/18 1:59 PM,25/Oct/18 11:52 AM,SalesApp,,0,Backend,Retainer,"We will need to create an API which will receive the lat, long & update_timestamp from the sales app & store it in the ""seller details"" in the database.",,admin,flora,kafi,,,"Seller location saving at database after calling this API
If seller location change, existing record updating. 
Inserting for new seller id with date and time.

API details at API document
https://docs.google.com/spreadsheets/d/1MluSMl34ZGBaAtpu6T_gTNTkxj9EyCaNIQ2_FLtaK-0/edit#gid=0;09/Jul/18 8:24 PM;kafi;7200",,,,,,,,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,{},,,,,,,,,,,,0|i00bef:,,,SKTAPP Sprint 16,SKTAPP Sprint 17,SKTAPP Sprint 18,SKTAPP Sprint 19,SKTAPP Sprint 20,SKTAPP Sprint 21,SKTAPP Sprint 22,SKTAPP Sprint 23,SKTAPP Sprint 24,SKTAPP Sprint 25,SKTAPP Sprint 26,,,,,,2018-07-22 10:22:24.749,"22/Jul/18 4:22 PM;kafi;There is no UI/Pages to see the location records till now. Please check at ""seller_location"" table at database",17/Oct/18 5:10 PM;flora;This task is done in model,25/Oct/18 11:52 AM;flora;This task is done in Production,,,,,,,,,,
Create a service which will call the locationupdate api in certain interval.,SKTAPP-743,12421,12419,Sub-task,Done,SKTAPP,Skitto App,software,admin,,,High,Done,zahidul,admin,admin,20/Jun/18 11:47 AM,25/Oct/18 11:51 AM,19/Dec/18 1:58 PM,25/Oct/18 11:51 AM,SalesApp,,0,Android,Retainer,"Create a service which will call the locationupdate api in certain interval. The api will expect the following parameters - lat, long & timestamp.

Also ideally if we can somehow make the interval configurable from server side.

The API will be called & the location will be updated every time the app is loaded or taken in the foreground. If the app remains in the foreground for a longer time then the API will be called at a certain interval which will be configurable from server side.

If the app goes to background or killed from background then the API wont be called any more.",,admin,flora,hasan.m.rahman,,,"Did some research on how to implement this feature

Created a sample project to check if alarm manager can do the interval call

Observation, alarmmanager can do the job but it seems alarmmanager does not invoke in exact interval a five minutes interval will work fine though

Tried to invoke API in broadcastreceiver worked as well.

Now need to implement a service which will manage alarmmanager and it’s broadcast;12/Jul/18 5:28 PM;zahidul;7200","Added AlarmManagerBroadcastReceiver in sales app

Added GPSTracker methods to get GPS location In SplashActivity Location permission is asked 

Started alarmManager with login in app

Tried to test but dev server was down;16/Jul/18 2:47 PM;zahidul;14400","Tested API implementation with backend
Data was not updating in server
Changed API implementation from form data to raw json string
Service broadcast to update location was not initiating while app is no longer in stack
Added wake lock along with alarm manager to acquire context to initiate the broadcast
;22/Jul/18 11:19 AM;zahidul;14400","Separated GPSTracker location listener and update location API request from AlarmManagerBroadcastReceiver
Added some try-catch blocks to identify a warning exception and handle the scenario
Added an intent service named LocationIntentService, added GPSTracker related code snippet on onHandleIntent() method
Added API call for update location in LocationIntentService
Changed setAlarm() method invocation workflow;18/Sep/18 6:31 PM;zahidul;14400","Added SalesApplication class extending Application

Added application name in manifest

Added SkittoSalesLifeCycleListener that overrides onMoveToForeground and onMoveToBackground callbacks, that detects whether application is in foreground or background

Invoked LocationIntentService from onMoveToForeground to update location when application is brought into foreground from background

Tested if location is updating when application is foreground;17/Oct/18 4:04 PM;zahidul;7200",,,,,,,,,,57600,0,57600,100%,57600,0,57600,,,,,,,,,,,{},,,,,,,,,,,,0|i00ben:,,,SKTAPP Sprint 16,SKTAPP Sprint 17,SKTAPP Sprint 18,SKTAPP Sprint 19,SKTAPP Sprint 20,SKTAPP Sprint 21,SKTAPP Sprint 22,SKTAPP Sprint 23,SKTAPP Sprint 24,SKTAPP Sprint 25,SKTAPP Sprint 26,,,,,,2018-09-18 12:31:17.031,"17/Sep/18 10:26 AM;admin;[~zahidul] The task details is updated. Here is the updated requirement.

The API will be called & the location will be updated every time the app is loaded or taken in the foreground. If the app remains in the foreground for a longer time then the API will be called at a certain interval which will be configurable from server side.

If the app goes to background or killed from background then the API wont be called any more.","18/Sep/18 6:31 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Sales_App_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Sales_App_Android/commit/1cafb2798c3965eca0d58f3286dd3d80b6b8ab97]:
'[SKTAPP-743]'","16/Oct/18 4:50 PM;flora;# App login \- Sent information
# App logout \- No information
# App background/Closed \-No information
# App background to foreground \- No information
# App close to Open \- Sent information 



Here the 4 no is an issue . It should send information","17/Oct/18 4:21 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Sales_App_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Sales_App_Android/commit/c958a8acd57b9a1720fafbdfce1409fb57cbe1ac]:
'[SKTAPP-992] Configuration change'",17/Oct/18 5:10 PM;flora;This task is done in model,25/Oct/18 11:51 AM;flora;This task is done in Production,,,,,,,
iOS - R&D about Jenkins and its integration,SKTAPP-794,12501,,Task,In Progress,SKTAPP,Skitto App,software,admin,,,Medium,,saifur,saifur,saifur,12/Jul/18 5:29 PM,15/Oct/18 10:50 AM,19/Dec/18 1:44 PM,,,,0,iOS,Retainer,,,saifur,,,,,R&D about Jenkins and its integration with iOS.;15/Jul/18 5:54 PM;saifur;14400,"Researched on how to install jenkins on mac.
Installed it on mac.
Started jenkins server.
Added XCode and Bitbucket plugin.;30/Aug/18 5:19 PM;saifur;14400","set up a new job in jenkins.
added git repository in jenkins.;11/Sep/18 5:29 PM;saifur;14400","set up  xcode plugin in jenkins,
R&D about jenkins deployment.;11/Sep/18 5:29 PM;saifur;14400",Setup Xcode integration settings.;16/Sep/18 5:16 PM;saifur;14400,"Tried building multiple times.
User account problem.
Created new user.;16/Sep/18 5:16 PM;saifur;14400","Tried multiple times to build.
Not found provisioning profiles in the keychain.
Solved that.
Failed with ""Code signing is required for product type 'Application' in SDK 'iOS 11.4'"".
More research needed for the error.;16/Sep/18 5:18 PM;saifur;14400",Tried 2 different Apple Accounts. Created new distribution certificates. Showing “Your session has expired. Please log in again”. Have to investigated further.;15/Oct/18 10:50 AM;saifur;14400,,,,,,,,0,115200,,,0,115200,,,,,,,,,,,{},,,,,,,,,,,,0|hzzzav:,,,SKTAPP Sprint 17,SKTAPP Sprint 19,SKTAPP Sprint 21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Android: Implement a pop up to prompt the user to turn off pay as you go when they go to data dashboard.,SKTAPP-914,12782,,Story,Done,SKTAPP,Skitto App,software,admin,,,High,Done,zahidul,admin,admin,16/Sep/18 3:34 PM,27/Sep/18 11:00 AM,19/Dec/18 1:42 PM,27/Sep/18 11:00 AM,data,,0,Android,Retainer,"We will need to implement a pop up to prompt the user to turn pay as you off when they go to data dashboard. 
The pop will have 3 options:
1. Turn off pay as you go 
2. Keep pay as you go on.
3. Using cross to button to close the pop up.

The user will see the pop up when they go to data dashboard & if the following conditions are met.
1. Pay as you go is turned on.
2. User didnt see the pop up earlier or chose the cross button to close the pop up before.

The details CJM is available here,:
https://www.draw.io/?state=%7B%22ids%22:%5B%2219bX9f6z-dNnj9t3i_puCZgOmF53VFW81%22%5D,%22action%22:%22open%22,%22userId%22:%22103850237171035738819%22%7D#G19bX9f6z-dNnj9t3i_puCZgOmF53VFW81",,admin,hasan.m.rahman,tasmia.safa,,,"Created dialog layout as required for the feature 

Added a global flag in preference to store dialog shown status 

Added a local flag in DataFragment to check if dialog was shown after once fragment is resumed 

Shown dialog according to required condition 

Found a glitch that is when called from drawer DataFragment is initiated twice

Added functionality to disable pay as you go from dialog button event;20/Sep/18 11:41 AM;zahidul;18000","Resolved a glitch that was causing the pay go dialog to appear twice every time the dataFragment is called from drawer menu

Tested several cases to check dialog appearing behavior 

Logged out and updated app from playstore to check if the dialog comes up;20/Sep/18 11:45 AM;zahidul;5400","Changed button text for the dialog when user presses keep it on

Optimize script and removed some redundant code 

Reported, committed and resolved;24/Sep/18 6:03 PM;zahidul;3600",,,,,,,,,,,,,0,27000,,,0,27000,,,24/Sep/18 5:06 PM;tasmia.safa;screenshot-1.png;https://skitto.atlassian.net/secure/attachment/11007/screenshot-1.png,,,,,,,,{},,,,,,,,,,,,0|hzzzbn:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,2018-09-20 07:14:24.681,"20/Sep/18 1:14 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/ac4ea35ab60eece6da8b537f5bdafa18a88bcfe3]:
'Pay As you go dialogs [SKTAPP-914]'","24/Sep/18 11:40 AM;tasmia.safa;[~zahidul] bhaiya the pay as you go pop up appeared in the sms bot as well. Happened only once. 
1. The app was already open in the background.
2. Was doing the deep linking test so clicked on the facebook add for the sms deeplinking
3. It took me to the sms bot
4. The pop up appeared in the sms bot","24/Sep/18 5:07 PM;tasmia.safa;[~zahidul] bhaiya the buttons are opposite to what you have designed. The required design is attached.  Also, there will be a full stop after the word the end of the body copy.

  !screenshot-1.png|thumbnail! !screenshot-1.png|thumbnail! ","24/Sep/18 6:07 PM;hasan.m.rahman;[Zahidul Islam|https://gitlab.com/zahidul1] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_Android|https://gitlab.com/ErgoV_Team_Skitto/Skitto_Android/commit/938e3680d603ad39df94349f99f5fbcc23d4b0e2]:
'PAY go dialogs [SKTAPP-914]'",27/Sep/18 11:00 AM;tasmia.safa;Feature added to the latest build.,,,,,,,,
iOS: Implement a pop up to prompt the user to turn off pay as you go when they go to data dashboard.,SKTAPP-915,12783,,Story,Done,SKTAPP,Skitto App,software,admin,,,High,Done,saifur,admin,admin,16/Sep/18 3:37 PM,07/Oct/18 3:17 PM,19/Dec/18 1:42 PM,07/Oct/18 3:17 PM,data,,0,iOS,Retainer,"We will need to implement a pop up to prompt the user to turn pay as you off when they go to data dashboard. 
The pop will have 3 options:
1. Turn off pay as you go 
2. Keep pay as you go on.
3. Using cross to button to close the pop up.

The user will see the pop up when they go to data dashboard & if the following conditions are met.
1. Pay as you go is turned on.
2. User didnt see the pop up earlier or chose the cross button to close the pop up before.

The details CJM is available here,:
https://www.draw.io/?state=%7B%22ids%22:%5B%2219bX9f6z-dNnj9t3i_puCZgOmF53VFW81%22%5D,%22action%22:%22open%22,%22userId%22:%22103850237171035738819%22%7D#G19bX9f6z-dNnj9t3i_puCZgOmF53VFW81",,admin,hasan.m.rahman,tasmia.safa,,,Added popup to Data dashboard.;20/Sep/18 4:53 PM;saifur;14400,"Added code for showing and hiding.

Added exceptional case for refreshing data dashboard.;20/Sep/18 4:53 PM;saifur;14400","Added Popup for Turn it off state.

implemented codes to handle popup;24/Sep/18 5:35 PM;saifur;14400","Added popup for “keep it on” status.

Implemented code for handling popup.;24/Sep/18 5:36 PM;saifur;14400",Fixed label gaps.;01/Oct/18 4:46 PM;saifur;3600,"Changed the popup titles in Emergency loan to “oops\!”

Changed button title of the popup to “ugh, take me back”;02/Oct/18 6:25 PM;saifur;3600",,,,,,,,,,0,64800,,,0,64800,,SKTAPP-914,,,,,,,,,{},,,,,,,,,,,,0|i00dlb:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,2018-09-19 12:31:30.534,"19/Sep/18 6:31 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/04faa620700e8b37f4d5e09dc3f693c0ae5e35d1]:
'JIRA Ticket: SKTAPP-915'","24/Sep/18 6:45 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/bf55a6f410dfc7bad3aad04116ae0ea691367ab7]:
'JIRA Ticket: SKTAPP-915'","26/Sep/18 6:37 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/b8aa8abac5112aa13715cd86f39a12a98d387fd3]:
'JIRA Ticket: SKTAPP-915'","02/Oct/18 6:23 PM;hasan.m.rahman;[Saifur Rahman|https://gitlab.com/saifur_ios] mentioned this issue in [a commit of ErgoV_Team_Skitto/Skitto_iOS|https://gitlab.com/ErgoV_Team_Skitto/Skitto_iOS/commit/69d9c225b722a500aba840f8c511cee443a2ea84]:
'JIRA Ticket: SKTAPP-880'",07/Oct/18 3:17 PM;tasmia.safa;Added to the latest build. ,,,,,,,,
Implement POS Tracking functionality.,SKTAPP-916,12785,,Story,In Progress,SKTAPP,Skitto App,software,admin,,,High,,abid.khan,admin,admin,16/Sep/18 4:45 PM,09/Dec/18 5:01 PM,19/Dec/18 1:41 PM,,Admin Panel,,0,Backend,Retainer,"We will need to implement POS tracking functionality in the sales app. There will be an admin panel where we can track the locations of POS, identify the active, idle & inactive users. Also view the historical data of the POS.

The details requirement can be found below:
https://skitto.atlassian.net/wiki/spaces/NF/pages/470056961?atlOrigin=eyJpIjoiZjRlNjRkYzA4OGQ5NDY5ZmFhZWY3YjY0NDA3ZmVmNWMiLCJwIjoiYyJ9",,admin,kafi,,,,;14/Oct/18 2:31 PM;abid.khan;108000,merging all the records and functions.;15/Oct/18 6:07 PM;abid.khan;21600,trying to work with direction api (for testing purpose). also done seller with date filter.;16/Oct/18 8:40 PM;abid.khan;18000,some organizingo.. but not yet completed;17/Oct/18 5:26 PM;abid.khan;3600,working for date range report generation.;21/Oct/18 6:11 PM;abid.khan;7200,solving date range search which takes my 12\+ productive hours;25/Oct/18 5:21 PM;abid.khan;10800,adding total ga info and made a function to get map marker.;29/Oct/18 2:16 PM;abid.khan;10800,remake the initial page;30/Oct/18 10:26 AM;abid.khan;10800,making pos tracker file based..;30/Oct/18 6:11 PM;abid.khan;25200,;01/Nov/18 5:24 PM;kafi;3600,implementing file based;13/Nov/18 10:42 AM;abid.khan;14400,;13/Nov/18 3:47 PM;abid.khan;7200,added total ga and waiting time.;04/Dec/18 6:05 PM;abid.khan;14400,slight changes in front end.. and R&D for how waiting time can be implemented.;05/Dec/18 1:36 PM;abid.khan;10800,,0,266400,,,0,266400,,,,,,,,,,,{},,,SKTAPP-740,,,,,,,,,0|i00e9j:,,,SKTAPP Sprint 21,SKTAPP Sprint 22,SKTAPP Sprint 23,SKTAPP Sprint 24,SKTAPP Sprint 25,SKTAPP Sprint 26,,,,,,,,,,,2018-11-01 11:24:15.988,01/Nov/18 5:24 PM;kafi;POS location pointed on map. (status marking on gmap),,,,,,,,,,,,
Integrate FB chat bot using dialogflow,SKTAPP-918,12787,,Story,To Do,SKTAPP,Skitto App,software,admin,,,Highest,,faiyaz,admin,admin,16/Sep/18 5:17 PM,16/Sep/18 5:17 PM,19/Dec/18 1:41 PM,,,,0,Retainer,,"We will have to implement chatbot using dialogflow. We are current using chat fuel for the fb chatbot. We have to move to dialogflow as it is a free tool & supports better ai & ml.

The details can be found here:
https://dialogflow.com/",,abid.khan,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,0|hzzzbh:,,,SKTAPP Sprint 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
